artist,genre,Followers,Popularity
Foo Fighters	rock,rock,12217837,78
Foo Fighters	rock,rock,12217837,78
Foo Fighters	rock,rock,12217837,78
Foo Fighters	rock,rock,12217837,78
Foo Fighters	rock,rock,12217837,78
The Killers	rock,rock,0,0
The Killers	rock,rock,0,0
The Killers	rock,rock,0,0
The Killers	rock,rock,0,0
The Killers	rock,rock,0,0
Green Day	rock,rock,15858790,83
Green Day	rock,rock,15858790,83
Green Day	rock,rock,15858790,83
Green Day	rock,rock,15858790,83
Green Day	rock,rock,15858790,83
